Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2020-04-15,MSFT,171.199997,173.570007,169.240005,171.880005,166.771927,40940800
2020-04-15,AAPL,70.599998,71.582497,70.157501,71.107498,69.624992,131154400
2020-04-15,ORCL,53.209999,53.450001,52.810001,53.16,50.457344,10398100
2020-04-16,AAPL,71.845001,72.050003,70.587502,71.672501,70.178223,157125200
2020-04-16,MSFT,174.300003,177.279999,172.899994,177.039993,171.77858,50479600
2020-04-16,ORCL,53.150002,53.869999,53.07,53.700001,50.969891,14098300
2020-04-17,AAPL,71.172501,71.737503,69.214996,70.699997,69.22599,215250000
2020-04-17,MSFT,179.5,180.0,175.869995,178.600006,173.292236,52765600
2020-04-17,ORCL,54.52,54.720001,53.970001,54.619999,51.843113,13608800
2020-04-20,AAPL,69.487503,70.419998,69.212502,69.232498,67.789093,130015200
2020-04-20,MSFT,176.630005,178.75,174.990005,175.059998,169.857407,36669600
2020-04-20,ORCL,54.049999,54.580002,53.799999,53.91,51.169216,10358900
2020-04-21,MSFT,173.5,173.669998,166.110001,167.820007,162.832581,56203700
2020-04-21,ORCL,53.23,53.34,51.119999,51.310001,48.701405,14111700
2020-04-21,AAPL,69.07,69.3125,66.357498,67.092499,65.693687,180991600
2020-04-22,ORCL,52.029999,52.580002,51.77,52.27,49.612595,9668300
2020-04-22,AAPL,68.402496,69.474998,68.050003,69.025002,67.585907,116862400
2020-04-22,MSFT,171.389999,174.0,170.820007,173.520004,168.36319,34620200
2020-04-23,ORCL,52.23,52.990002,51.450001,51.970001,49.327847,10330200
2020-04-23,AAPL,68.967499,70.4375,68.717499,68.7575,67.323997,124814400
2020-04-23,MSFT,174.110001,175.059998,170.910004,171.419998,166.325592,32790800
2020-04-24,ORCL,52.41,53.049999,51.959999,53.009998,50.314968,9403500
2020-04-24,AAPL,69.300003,70.752502,69.25,70.7425,69.267593,126161200
2020-04-24,MSFT,172.059998,174.559998,170.710007,174.550003,169.362579,34277600
2020-04-27,AAPL,70.449997,71.135002,69.987503,70.792503,69.316559,117087600
2020-04-27,MSFT,176.589996,176.899994,173.300003,174.050003,168.877426,33194400
2020-04-27,ORCL,53.360001,53.639999,53.060001,53.369999,50.65667,9123200
2020-04-28,MSFT,175.589996,175.669998,169.389999,169.809998,164.763458,34392700
2020-04-28,ORCL,53.900002,54.150002,53.130001,53.200001,50.495304,8350500
2020-04-28,AAPL,71.269997,71.457497,69.550003,69.644997,68.192986,112004800
2020-04-29,MSFT,173.220001,177.679993,171.880005,177.429993,172.156982,51286600
2020-04-29,ORCL,53.950001,54.279999,53.689999,53.880001,51.140743,9064100
2020-04-29,AAPL,71.182503,72.417503,70.972504,71.932503,70.4328,137280800
2020-04-30,MSFT,180.0,180.399994,176.229996,179.210007,173.884109,53875900
2020-04-30,ORCL,53.470001,53.599998,52.799999,52.970001,50.277,11808800
2020-04-30,AAPL,72.489998,73.6325,72.087502,73.449997,71.918648,183064000
2020-05-01,ORCL,52.380001,52.439999,51.310001,51.790001,49.156998,8702400
2020-05-01,AAPL,71.5625,74.75,71.462502,72.267502,70.760818,240616800
2020-05-01,MSFT,175.800003,178.639999,174.009995,174.570007,169.381973,39370500
2020-05-04,AAPL,72.292503,73.422501,71.580002,73.290001,71.762001,133568000
2020-05-04,MSFT,174.490005,179.0,173.800003,178.839996,173.525101,30372900
2020-05-04,ORCL,51.709999,51.790001,51.099998,51.75,49.119022,7567900
2020-05-05,AAPL,73.764999,75.25,73.614998,74.389999,72.83905,147751200
2020-05-05,MSFT,180.619995,183.649994,179.899994,180.759995,175.388031,36839200
2020-05-05,ORCL,52.220001,52.860001,51.990002,52.049999,49.40377,7271800
2020-05-06,AAPL,75.114998,75.809998,74.717499,75.157501,73.590553,142333600
2020-05-06,MSFT,182.080002,184.199997,181.630005,182.539993,177.115143,32139300
2020-05-06,ORCL,52.43,52.5,51.700001,51.860001,49.223434,7050000
2020-05-07,AAPL,75.805,76.292503,75.4925,75.934998,74.351845,115215200
2020-05-07,ORCL,52.400002,52.919998,52.27,52.599998,49.925808,7154700
2020-05-07,MSFT,184.169998,184.550003,182.580002,183.600006,178.143646,28316000
2020-05-08,ORCL,53.189999,53.779999,52.77,53.57,50.846497,8130800
2020-05-08,AAPL,76.410004,77.587502,76.072502,77.532501,76.121544,133838400
2020-05-08,MSFT,184.979996,185.0,183.360001,184.679993,179.191528,30877800
2020-05-11,ORCL,53.130001,53.830002,53.060001,53.529999,50.808529,8138600
2020-05-11,AAPL,77.025002,79.262497,76.809998,78.752502,77.319359,145946400
2020-05-11,MSFT,183.149994,187.509995,182.850006,186.740005,181.190323,30892700
2020-05-12,ORCL,53.799999,53.830002,52.25,52.27,49.612595,8598800
2020-05-12,AAPL,79.457497,79.922501,77.727501,77.852501,76.435715,162301200
2020-05-12,MSFT,186.800003,187.039993,182.300003,182.509995,177.085999,32038200
2020-05-13,AAPL,78.037498,78.987503,75.802498,76.912498,75.512817,200622400
2020-05-13,MSFT,182.550003,184.050003,176.539993,179.75,174.408051,44711500
2020-05-13,ORCL,52.43,52.490002,51.279999,51.650002,49.024117,10274300
2020-05-14,MSFT,177.539993,180.690002,175.679993,180.529999,175.164871,41873900
2020-05-14,ORCL,51.139999,53.029999,50.860001,52.91,50.220055,13794000
2020-05-14,AAPL,76.127502,77.447502,75.3825,77.385002,75.97673,158929200
2020-05-15,MSFT,179.059998,187.059998,177.0,183.160004,177.716705,46610400
2020-05-15,ORCL,52.700001,53.990002,52.52,52.919998,50.229542,39055700
2020-05-15,AAPL,75.087502,76.974998,75.052498,76.927498,75.527542,166348400
2020-05-18,MSFT,185.75,186.199997,183.960007,184.910004,179.414703,35264500
2020-05-18,ORCL,53.91,53.950001,53.07,53.150002,50.447849,9901900
2020-05-18,AAPL,78.292503,79.125,77.580002,78.739998,77.307053,135178400
2020-05-19,MSFT,185.029999,186.600006,183.490005,183.630005,178.172729,26799100
2020-05-19,AAPL,78.7575,79.629997,78.252502,78.285004,76.860359,101729600
2020-05-19,ORCL,53.18,53.25,52.32,52.34,49.679035,9805100
2020-05-20,AAPL,79.169998,79.879997,79.129997,79.807503,78.355133,111504800
2020-05-20,MSFT,184.809998,185.850006,183.940002,185.660004,180.644135,31261300
2020-05-20,ORCL,53.09,53.27,52.650002,52.900002,50.210571,9115900
2020-05-21,AAPL,79.665001,80.222504,78.967499,79.212502,77.770958,102688800
2020-05-21,MSFT,185.399994,186.669998,183.289993,183.429993,178.474365,29119500
2020-05-21,ORCL,52.759998,52.939999,52.119999,52.220001,49.565132,7464000
2020-05-22,AAPL,78.942497,79.807503,78.837502,79.722504,78.271698,81803200
2020-05-22,MSFT,183.190002,184.460007,182.539993,183.509995,178.5522,20826900
2020-05-22,ORCL,52.34,52.639999,52.080002,52.619999,49.944798,7211700
2020-05-26,MSFT,186.339996,186.5,181.100006,181.570007,176.664627,36073600
2020-05-26,ORCL,53.650002,53.68,52.650002,52.779999,50.096664,11200600
2020-05-26,AAPL,80.875,81.059998,79.125,79.182503,77.741508,125522000
2020-05-27,ORCL,53.0,53.25,52.57,53.200001,50.495304,9228100
2020-05-27,AAPL,79.035004,79.677498,78.272499,79.527496,78.080238,112945200
2020-05-27,MSFT,180.199997,181.990005,176.600006,181.809998,176.898148,39517100
2020-05-28,ORCL,53.759998,54.150002,53.220001,53.619999,50.893963,9465400
2020-05-28,AAPL,79.192497,80.860001,78.907501,79.5625,78.114594,133560800
2020-05-28,MSFT,180.740005,184.149994,180.380005,181.399994,176.499191,33810200
2020-05-29,ORCL,53.619999,53.939999,52.990002,53.77,51.036327,14734800
2020-05-29,AAPL,79.8125,80.287498,79.1175,79.485001,78.038513,153532400
2020-05-29,MSFT,182.729996,184.270004,180.410004,183.25,178.29924,42130400
2020-06-01,ORCL,53.279999,53.389999,52.790001,53.060001,50.362423,7363200
2020-06-01,MSFT,182.539993,183.0,181.460007,182.830002,177.890564,22622400
2020-06-01,AAPL,79.4375,80.587502,79.302498,80.462502,78.998222,80791200
2020-06-02,MSFT,184.25,185.0,181.350006,184.910004,179.914383,30794600
2020-06-02,ORCL,53.240002,53.290001,52.639999,53.279999,50.571239,8756300
2020-06-02,AAPL,80.1875,80.860001,79.732498,80.834999,79.363945,87642800
2020-06-03,MSFT,184.820007,185.940002,183.580002,185.360001,180.352219,27311000
2020-06-03,ORCL,53.330002,53.619999,52.990002,53.490002,50.770565,9188700
2020-06-03,AAPL,81.165001,81.550003,80.574997,81.279999,79.800842,104491200
